roomNumber,FloorHeight,Width,Length,Rotation,SouthContextOffset,EastContextOffset,NorthContextOffset,WestContextOffset,SouthContextHeight,EastContextHeight,NorthContextHeight,WestContextHeight,SouthShadingDepth,EastShadingDepth,NorthShadingDepth,WestShadingDepth,NorthGlazingRatio,WestGlazingRatio,SouthGlazingRatio,EastGlazingRatio,NorthWindowHeight,WestWindowHeight,SouthWindowHeight,EastWindowHeight,NorthWindowSill,WestWindowSill,SouthWindowSill,EastWindowSill,sDA1,sDA2,sDA3,sDA4,sDA5,sDA6,sDA7,sDA8,sDA9,UDI1,UDI2,UDI3,UDI4,UDI5,UDI6,UDI7,UDI8,UDI9,ASE1,ASE2,ASE3,ASE4,ASE5,ASE6,ASE7,ASE8,ASE9
254,9,18,18,44,39,41,24,4,3,22,71,83,0.59,2.2,0.03,0.2,0.7,0.8,0.6,0.7,8,2,2,4,4,2,2,1,100,100,100,100,0,100,100,100,100,24.361111,86.305556,23.848485,52.833333,0,43.333333,7.611111,31.652778,7.236111,99.31,2.08,33.33,88.19,0,30.56,100,100,100
255,3,33,26,-22,57,38,12,70,73,82,95,105,1.79,2.37,2.53,2.43,0.2,0.6,0.5,0.3,9,9,8,9,2,2,5,1,40.62,31.65,91.44,0,0,47.86,20.73,8.12,75.94,79.470588,66.767507,89.449198,5.94385,0,88.245989,63.728291,36.896359,92.13369,5.6,4.2,4.55,0,0,0,3.92,1.96,1.34
256,9,18,18,45,38,40,24,5,3,22,61,83,2.69,2.21,0.34,2.32,0.5,0.8,0.6,0.8,8,3,6,4,4,2,5,1,100,88.64,100,100,0,100,100,100,100,43.780303,92.484848,57.099174,69.603306,0,80.069444,9.284722,30.069444,11.444444,90.15,0,0.83,71.9,0,0.69,100,100,100
257,3,33,26,-22,57,38,12,70,73,82,95,105,1.79,2.37,2.53,2.43,0.2,0.6,0.5,0.3,9,9,8,9,2,2,5,1,40.62,31.65,91.44,0,0,47.86,20.73,8.12,75.94,79.470588,66.767507,89.449198,5.970588,0,88.245989,63.728291,36.896359,92.139037,5.6,4.2,4.55,0,0,0,3.92,1.96,1.34
258,9,18,16,44,39,41,24,4,3,22,67,83,0.59,2.2,0.03,0.2,0.8,0.8,0.6,0.7,8,2,2,4,4,2,2,1,100,100,100,100,0,100,100,100,100,18.25,88.125,23.041667,39.283333,0,39.025,6.675,33.616667,7.133333,100,7.5,35,98.33,0,34.17,100,100,100
259,8,33,29,-42,59,41,9,70,77,82,14,57,2.85,2.38,2.39,2.42,0.2,0.5,0.8,0.4,5,9,9,5,4,2,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
260,8,35,29,-42,57,42,9,5,7,82,99,80,0.5,2.38,2.41,2.42,0.2,0.8,0.6,0.7,9,9,9,6,4,2,1,1,74.37,8.01,100,1.37,0,100,100,100,100,86.732265,39.89016,54.510297,19.478261,0,62.19222,79.736842,86.688787,32.805492,41.42,0.69,20.59,0.46,0,11.44,32.72,17.39,34.1
261,9,18,18,45,38,40,24,5,3,22,61,83,2.69,2.21,0.34,2.32,0.5,0.8,0.6,0.8,8,3,6,4,4,2,5,1,100,88.64,100,100,0,100,100,100,100,43.780303,92.484848,57.099174,69.603306,0,80.027778,9.284722,30.069444,11.444444,90.15,0,0.83,71.9,0,0.69,100,100,100
262,9,18,18,44,39,41,24,4,3,22,71,83,0.59,2.2,0.03,0.2,0.7,0.8,0.6,0.7,8,2,2,4,4,2,2,1,100,100,100,100,0,100,100,100,100,24.361111,86.305556,23.848485,52.833333,0,43.333333,7.611111,31.652778,7.236111,99.31,2.08,33.33,88.19,0,30.56,100,100,100
263,3,33,26,-22,57,38,12,70,73,82,95,105,1.79,2.48,2.53,2.43,0.2,0.6,0.5,0.3,9,9,8,9,2,2,5,1,40.62,31.65,90.91,0,0,48.13,19.33,7.28,76.74,79.117647,66.753501,89.379679,5.885027,0,88.270053,63.316527,36.10084,92.278075,5.6,4.2,4.55,0,0,0,3.36,1.12,1.34
264,9,18,16,44,39,41,24,4,3,29,67,83,0.59,2.2,0.03,0.2,0.8,0.8,0.6,0.7,8,2,2,4,4,2,2,1,100,100,100,100,0,100,100,100,100,18.4,88.725,23.291667,39.583333,0,39.091667,6.833333,35.2,7.166667,100,7.5,35,98.33,0,34.17,100,100,100
265,3,33,26,-22,57,38,12,70,73,82,95,105,1.79,2.37,2.53,2.43,0.2,0.6,0.5,0.3,9,9,8,9,2,2,5,1,40.62,31.65,91.44,0,0,47.86,20.73,8.12,75.94,79.470588,66.767507,89.449198,5.954545,0,88.245989,63.739496,36.896359,92.13369,5.6,4.2,4.55,0,0,0,3.92,1.96,1.34
266,9,18,18,45,38,37,9,14,3,76,61,112,1.65,2.22,0.34,2.42,0.7,0.8,0.5,0.8,9,3,7,4,4,2,5,1,100,99.24,100,100,0,100,100,100,100,46.378788,88.757576,37.338843,82.966942,0,70.659722,14,40.388889,12.694444,78.79,11.36,28.1,42.98,0,20.14,100,100,100
267,5,33,29,-18,59,46,17,70,80,82,14,104,2.85,2.38,2.39,2.42,0.1,0.5,0.8,0.4,5,9,9,9,1,2,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
268,8,33,29,-42,57,42,9,70,76,82,99,53,2.85,2.38,2.41,2.42,0.2,0.4,0.7,0.3,9,9,9,6,4,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
269,3,33,26,-22,57,38,12,70,73,82,95,105,1.79,2.37,2.53,2.43,0.2,0.6,0.5,0.3,9,9,8,9,2,2,5,1,40.62,31.65,91.44,0,0,47.86,20.73,8.12,75.94,79.470588,66.767507,89.449198,5.973262,0,88.245989,63.739496,36.896359,92.13369,5.6,4.2,4.55,0,0,0,3.92,1.96,1.34
270,9,18,18,44,39,41,24,4,3,22,71,83,0.59,2.2,0.03,0.2,0.7,0.8,0.6,0.7,8,2,2,4,4,2,2,1,100,100,100,100,0,100,100,100,100,24.361111,86.305556,23.848485,52.833333,0,43.333333,7.611111,31.652778,7.236111,99.31,2.08,33.33,88.19,0,30.56,100,100,100
