myIndex,roomNumber,FloorHeight,Width,Length,Rotation,SouthContextOffset,EastContextOffset,NorthContextOffset,WestContextOffset,SouthContextHeight,EastContextHeight,NorthContextHeight,WestContextHeight,SouthShadingDepth,EastShadingDepth,NorthShadingDepth,WestShadingDepth,NorthGlazingRatio,WestGlazingRatio,SouthGlazingRatio,EastGlazingRatio,NorthWindowHeight,WestWindowHeight,SouthWindowHeight,EastWindowHeight,NorthWindowSill,WestWindowSill,SouthWindowSill,EastWindowSill,sDA,UDI,ASE,sDABin,UDIBin,ASEBin,sDA_Category,UDI_Category,ASE_Category
23,3,7.0,20.0,29.0,-24.0,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.0,0.0,0.7,0.0,9,2,4,0,2,0,2,4,42.97,59.495259,14.91,"(38.67, 80.77]","(53.629, 73.968]","(12.32, 38.71]",3,3,3
24,3,7.0,20.0,29.0,-24.0,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.4,0.0,0.0,0.2,9,2,4,0,2,0,2,4,38.71,77.617672,0.09,"(38.67, 80.77]","(73.968, 86.117]","(-0.001, 0.858]",3,4,1
25,3,7.0,20.0,29.0,-24.0,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.0,0.0,0.0,0.2,9,2,4,0,2,0,2,4,8.1,37.830172,0.0,"(-0.001, 12.3]","(29.653, 53.629]","(-0.001, 0.858]",1,2,1
26,3,7.0,20.0,29.0,-24.0,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.0,0.0,0.7,0.2,9,2,4,0,2,0,2,4,78.92,78.068966,32.84,"(38.67, 80.77]","(73.968, 86.117]","(12.32, 38.71]",3,4,3
27,4,10.0,17.666666666666668,29.0,-30.0,14,85,94,9,11,70,350,147,0.22,2.99,1.62,2.78,0.6,0.0,0.0,0.0,7,1,2,3,0,5,4,3,52.13,80.318797,2.46,"(38.67, 80.77]","(73.968, 86.117]","(0.858, 12.32]",3,4,2
28,4,10.0,17.666666666666668,29.0,-30.0,14,85,94,9,11,70,350,147,0.22,2.99,1.62,2.78,0.0,0.0,0.0,0.0,7,1,2,3,0,5,4,3,0.0,0.0,0.0,"(-0.001, 12.3]","(-0.001, 29.653]","(-0.001, 0.858]",1,1,1
29,4,10.0,17.666666666666668,29.0,-30.0,14,85,94,9,11,70,350,147,0.22,2.99,1.62,2.78,0.0,0.0,0.8,0.0,7,1,2,3,0,5,4,3,99.4,59.853634,58.65,"(80.77, 100.0]","(53.629, 73.968]","(38.71, 100.0]",4,3,4
30,4,10.0,17.666666666666668,29.0,-30.0,14,85,94,9,11,70,350,147,0.22,2.99,1.62,2.78,0.6,0.0,0.0,0.0,7,1,2,3,0,5,4,3,52.18,80.291228,2.46,"(38.67, 80.77]","(73.968, 86.117]","(0.858, 12.32]",3,4,2
32,4,10.0,17.666666666666668,29.0,-30.0,14,85,94,9,11,70,350,147,0.22,2.99,1.62,2.78,0.0,0.0,0.8,0.0,7,1,2,3,0,5,4,3,96.59,60.903258,57.79,"(80.77, 100.0]","(53.629, 73.968]","(38.71, 100.0]",4,3,4
33,4,10.0,17.666666666666668,29.0,-30.0,14,85,94,9,11,70,350,147,0.22,2.99,1.62,2.78,0.6,0.0,0.0,0.8,7,1,2,3,0,5,4,3,100.0,53.263158,43.51,"(80.77, 100.0]","(29.653, 53.629]","(38.71, 100.0]",4,2,4
34,4,10.0,17.666666666666668,29.0,-30.0,14,85,94,9,11,70,350,147,0.22,2.99,1.62,2.78,0.0,0.0,0.0,0.8,7,1,2,3,0,5,4,3,100.0,72.326108,38.33,"(80.77, 100.0]","(53.629, 73.968]","(12.32, 38.71]",4,3,3
35,4,10.0,17.666666666666668,29.0,-30.0,14,85,94,9,11,70,350,147,0.22,2.99,1.62,2.78,0.0,0.0,0.8,0.8,7,1,2,3,0,5,4,3,100.0,26.20802,86.32,"(80.77, 100.0]","(-0.001, 29.653]","(38.71, 100.0]",4,1,4
36,5,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.7,0.3,0.0,0.0,2,1,3,2,3,4,5,3,13.9,72.18984,0.0,"(12.3, 38.67]","(53.629, 73.968]","(-0.001, 0.858]",2,3,1
37,5,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.0,0.3,0.0,0.0,2,1,3,2,3,4,5,3,0.0,42.855615,0.0,"(-0.001, 12.3]","(29.653, 53.629]","(-0.001, 0.858]",1,2,1
38,5,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.0,0.3,0.6,0.0,2,1,3,2,3,4,5,3,42.51,82.22861,10.43,"(38.67, 80.77]","(73.968, 86.117]","(0.858, 12.32]",3,4,2
39,5,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.7,0.0,0.0,0.0,2,1,3,2,3,4,5,3,2.81,21.635027,0.0,"(-0.001, 12.3]","(-0.001, 29.653]","(-0.001, 0.858]",1,1,1
41,5,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.0,0.0,0.6,0.0,2,1,3,2,3,4,5,3,26.34,38.820856,6.95,"(12.3, 38.67]","(29.653, 53.629]","(0.858, 12.32]",2,2,2
42,5,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.7,0.0,0.0,0.3,2,1,3,2,3,4,5,3,19.92,66.175134,0.0,"(12.3, 38.67]","(53.629, 73.968]","(-0.001, 0.858]",2,3,1
43,5,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.0,0.0,0.0,0.3,2,1,3,2,3,4,5,3,0.0,23.431818,0.0,"(-0.001, 12.3]","(-0.001, 29.653]","(-0.001, 0.858]",1,1,1
44,5,4.0,8.666666666666666,22.333333333333332,-24.0,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.0,0.0,0.6,0.3,2,1,3,2,3,4,5,3,44.79,76.03877,15.78,"(38.67, 80.77]","(73.968, 86.117]","(12.32, 38.71]",3,4,3
45,6,8.0,22.666666666666668,14.666666666666666,-14.0,5,88,80,31,194,428,370,481,2.17,1.42,1.53,2.62,0.3,0.3,0.0,0.0,1,5,9,3,4,2,2,4,85.44,96.163218,0.31,"(80.77, 100.0]","(86.117, 98.107]","(-0.001, 0.858]",4,5,1
46,6,8.0,22.666666666666668,14.666666666666666,-14.0,5,88,80,31,194,428,370,481,2.17,1.42,1.53,2.62,0.0,0.3,0.0,0.0,1,5,9,3,4,2,2,4,17.78,47.342529,1.76,"(12.3, 38.67]","(29.653, 53.629]","(0.858, 12.32]",2,2,2
47,6,8.0,22.666666666666668,14.666666666666666,-14.0,5,88,80,31,194,428,370,481,2.17,1.42,1.53,2.62,0.0,0.3,0.8,0.0,1,5,9,3,4,2,2,4,73.33,91.936398,14.33,"(38.67, 80.77]","(86.117, 98.107]","(12.32, 38.71]",3,5,3
