roomNumber,FloorHeight,Width,Length,Rotation,SouthContextOffset,EastContextOffset,NorthContextOffset,WestContextOffset,SouthContextHeight,EastContextHeight,NorthContextHeight,WestContextHeight,SouthShadingDepth,EastShadingDepth,NorthShadingDepth,WestShadingDepth,NorthGlazingRatio,WestGlazingRatio,SouthGlazingRatio,EastGlazingRatio,NorthWindowHeight,WestWindowHeight,SouthWindowHeight,EastWindowHeight,NorthWindowSill,WestWindowSill,SouthWindowSill,EastWindowSill,sDA1,sDA2,sDA3,sDA4,sDA5,sDA6,sDA7,sDA8,sDA9,UDI1,UDI2,UDI3,UDI4,UDI5,UDI6,UDI7,UDI8,UDI9,ASE1,ASE2,ASE3,ASE4,ASE5,ASE6,ASE7,ASE8,ASE9
329,9,63,70,-20.3,19,38,4,12,396,160,380,341,0.53,2.23,1.66,1.6,0.7,0.2,0.7,0.3,2,0,4,3,3,0,5,3,11.34,4.56,74.12,0,0,37.99,52.59,24.64,97.77,52.393892,9.662248,84.562629,37.160973,0,69.475155,89.888199,57.199793,76.247412,0,0.69,26.6,0,0,11.9,1.09,3.83,51.09
330,9,12,70,-16.1,26,20,12,27,339,181,386,341,0.45,2.23,1.71,1.6,0.4,0.2,0.6,0.3,3,0,4,3,3,4,1,3,62.23,49.46,86.96,13.32,0,45.38,78.53,51.36,91.85,90.277174,79.097826,70.396739,32.019022,0,42.725543,93.138587,81.089674,65.002717,0,7.07,45.11,0,0,28.53,0,0.82,60.6
331,9,83,89,-16.1,19,20,12,27,307,179,123,341,0.54,1.85,1.67,1.62,0.7,0.3,0.7,0.3,9,0,4,2,3,0,5,4,34.48,8.91,66.04,11.56,0,27.12,40.25,0,78.71,72.263482,21.243143,85.537134,43.745455,0,54.10077,83.39322,22.678891,82.970108,0,3.24,22.28,0,0,4.16,0,0,32.73
332,9,83,89,-20.3,19,20,12,12,307,179,123,341,0.34,1.86,1.67,1.62,0.7,0.3,0.7,0.3,9,0,4,2,3,0,4,3,26.84,4.04,59.6,10.26,0,25.76,41.2,2.16,79.17,63.935901,12.162404,84.76641,41.178737,0,52.524499,81.639137,21.910324,82.563945,0,0.03,18.21,0,0,5.36,0.09,0,32.23
333,9,26,90,-16.8,31,20,10,39,335,160,386,395,0.34,2.23,1.64,1.61,0.8,0.3,0.7,0.3,9,0,5,2,2,0,1,4,73.53,42.94,95.98,16.67,0,49.12,65.69,0,90.49,88.318627,80.268627,65.090196,37.153922,0,51.561765,89.215686,72.163725,69.97549,8.92,12.35,50.59,0,0,24.71,0,0,39.51
334,9,83,70,-20.3,19,38,12,12,312,187,123,395,0.34,2.24,1.67,1.6,0.7,0.2,0.6,0.3,9,0,4,2,3,4,5,3,36.96,0,73.95,17.35,0,32.45,64.62,20.08,96.09,82.68498,17.075494,89.856522,57.752569,0,66.288538,90.997628,41.883399,81.964427,0,0,18.18,0,0,5.14,1.5,3.44,45.02
335,9,17,70,-21,32,38,23,12,339,179,124,341,0.34,2.23,1.67,1.6,0.7,0.2,0.7,0.3,9,0,4,2,2,0,4,3,57.71,18.38,89.13,28.66,0,59.29,89.33,81.03,99.6,81.596838,48.233202,66.909091,48.387352,0,61.136364,88.608696,88.725296,57.166008,0,2.96,46.44,0,0,35.38,7.91,16.01,78.26
336,9,12,71,-21,26,20,12,27,339,181,126,341,0.54,2.23,1.66,1.6,0.7,0.2,0.7,0.3,2,0,4,2,3,4,1,3,67.55,47.87,86.97,19.15,0,46.81,80.32,52.93,92.29,92.242021,79.523936,69.835106,38.25,0,44.255319,93.138298,80.949468,63.098404,0,0,52.66,0,0,29.79,0,0,66.76
337,9,62,70,-21,19,38,4,12,310,179,380,341,0.54,2.23,1.67,1.6,0.7,0.2,0.7,0.3,2,0,4,3,3,4,5,3,13.2,0,85.74,0,0,38.18,53.08,25.34,97.77,68.780488,24.006363,85.194592,35.557264,0,69.154295,89.727996,58.125663,76.051432,0,0,25.08,0,0,12.67,2.07,3.18,51.17
338,9,15,88,-16.1,19,20,4,27,338,181,376,341,0.45,2.23,1.66,1.6,0.7,0.3,0.6,0.3,2,0,3,3,3,0,1,3,77.24,54.31,100,0,0,33.97,67.59,30.52,89.14,93.703448,87.351724,67.274138,15.768966,0,34.355172,89.367241,78.056897,71.096552,0,18.45,55.86,0,0,20.17,0.34,0,49.83
339,9,63,70,-20.3,19,40,12,12,396,160,131,341,0.53,2.23,1.66,1.6,0.7,0.2,0.7,0.3,2,0,4,3,3,4,5,3,45.19,0,87.32,23.29,0,38.98,78.42,27.8,98.08,88.508799,25.368505,84.988095,61.809524,0,71.527433,93.291408,60.224638,75.836957,0,0,27.54,0,0,11.9,1.55,4.61,51.6
340,9,83,89,-20.3,19,20,12,12,307,179,123,341,0.34,1.86,1.67,1.62,0.7,0.3,0.7,0.3,9,0,4,2,3,0,4,3,26.84,4.04,59.63,10.2,0,25.76,41.08,2.19,79.17,63.935901,12.161787,84.894607,41.156549,0,52.533436,81.693991,21.884438,82.559322,0,0.03,18.21,0,0,5.36,0.09,0,32.23
