roomNumber,FloorHeight,Width,Length,Rotation,SouthContextOffset,EastContextOffset,NorthContextOffset,WestContextOffset,SouthContextHeight,EastContextHeight,NorthContextHeight,WestContextHeight,SouthShadingDepth,EastShadingDepth,NorthShadingDepth,WestShadingDepth,NorthGlazingRatio,WestGlazingRatio,SouthGlazingRatio,EastGlazingRatio,NorthWindowHeight,WestWindowHeight,SouthWindowHeight,EastWindowHeight,NorthWindowSill,WestWindowSill,SouthWindowSill,EastWindowSill,sDA1,sDA2,sDA3,sDA4,sDA5,sDA6,sDA7,sDA8,sDA9,UDI1,UDI2,UDI3,UDI4,UDI5,UDI6,UDI7,UDI8,UDI9,ASE1,ASE2,ASE3,ASE4,ASE5,ASE6,ASE7,ASE8,ASE9
0,8,95,42,-22,69,12,11,71,161,125,472,142,1.96,1.4,1.93,2.11,0.2,0.3,0.7,0.7,0,4,6,8,5,1,0,2,40.8,22.73,100,0,0,100,37.76,12.7,100,79.145797,39.574263,47.28458,47.65726,0,63.463152,79.813492,32.03458,46.438776,5.82,4.76,57.77,0,0,42.63,1.81,1.93,67.46
1,8,32,99,3,69,89,86,68,137,412,403,218,1.16,1.67,0.19,1.42,0.6,0.1,0.4,0.3,5,2,7,7,5,3,2,0,63.92,17.07,77.99,36.15,0,40.69,98.34,91.28,100,90.810967,69.478388,77.735931,57.924964,0,47.813853,89.766955,90.388278,70.683983,0,2.12,33.48,0,0,22.73,8.44,19.71,57.58
2,7,46,21,-17,80,9,10,43,499,475,108,51,0.66,2.92,0.94,2.87,0.3,0.4,0.1,0.4,5,1,2,5,4,5,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,60,87,-24,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.4,0.2,0.7,0.2,9,2,4,0,2,0,2,4,34.48,10.73,65.17,10.47,0,42.97,38.71,8.1,78.92,66.418103,28.544828,79.096121,33.334483,0,59.495259,77.617672,37.830172,78.068966,2.93,3.88,23.97,0,0,14.91,0.09,0,32.84
4,10,53,87,-30,14,85,94,9,11,70,350,147,0.22,2.99,1.62,2.78,0.6,0,0.8,0.8,7,1,2,3,0,5,4,3,52.13,0,99.4,52.18,0,96.59,100,100,100,80.318797,0,59.853634,80.291228,0,60.903258,53.263158,72.326108,26.20802,2.46,0,58.65,2.46,0,57.79,43.51,38.33,86.32
5,4,26,67,-24,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.7,0.3,0.6,0.3,2,1,3,2,3,4,5,3,13.9,0,42.51,2.81,0,26.34,19.92,0,44.79,72.18984,42.855615,82.22861,21.635027,0,38.820856,66.175134,23.431818,76.03877,0,0,10.43,0,0,6.95,0,0,15.78
6,8,68,44,-14,5,88,80,31,194,428,370,481,2.17,1.42,1.53,2.62,0.3,0.3,0.8,0.3,1,5,9,3,4,2,2,4,85.44,17.78,73.33,58.77,0,8.51,95.25,40.31,88.81,96.163218,47.342529,91.936398,93.183908,0,50.57931,93.511877,73.965517,85.531034,0.31,1.76,14.33,0,0,0,14.02,14.94,36.78
7,10,95,44,29,79,69,11,16,111,165,79,119,0.52,2.47,2.86,0.84,0.7,0.4,0.6,0.5,5,5,0,3,2,0,1,2,96.28,14.94,100,92.83,0,100,98.85,46.2,100,87.915161,30.889436,33.158183,85.753695,0,47.821565,78.660099,72.171866,31.636563,0.93,4.98,74.11,0,0,64.37,8.76,8.76,85.28
8,9,66,47,-38,63,94,69,66,256,219,56,190,0.03,2.84,2.46,0.61,0.5,0.2,0.3,0.2,4,3,5,4,4,1,1,0,96.19,26.76,100,89.52,0,87.76,98.17,29.99,100,93.587243,47.329179,75.874633,95.920821,0,80.615103,89.406158,51.46261,69.896628,3.01,2.49,32.77,0,0,27.64,14.37,17.16,51.47
9,8,57,75,-29,49,34,2,77,16,294,79,326,1.24,2.2,0.36,0.18,0.4,0.2,0.7,0.2,9,0,1,2,3,1,0,5,31.84,26.7,100,0,0,91.35,15.44,0,99.62,67.358919,52.591837,57.73027,22.800215,0,63.042703,73.057363,39.338947,61.08,7.46,7.45,46,0,0,39.68,0.11,0,47.51
10,7,60,87,-24,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.4,0.2,0.7,0.2,9,2,4,0,2,0,2,4,34.48,10.73,65.17,10.78,0,43.02,38.53,8.06,78.92,66.418103,28.531034,79.096121,33.398707,0,59.502155,77.525,37.79569,78.068966,2.93,3.88,23.97,0,0,14.91,0.09,0,32.84
11,4,26,67,-24,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.7,0.3,0.6,0.3,2,1,3,2,3,4,5,3,13.9,0,42.51,3.07,0,26.34,19.92,0,44.79,72.18984,42.855615,82.22861,21.697861,0,38.867647,66.175134,23.431818,76.03877,0,0,10.43,0,0,6.95,0,0,15.78
12,8,68,44,-14,5,88,80,31,194,428,370,481,2.17,1.42,1.53,2.62,0.3,0.3,0.8,0.3,1,5,9,3,4,2,2,4,85.44,17.78,73.33,58.77,0,8.51,95.17,40.31,88.58,96.163218,47.342529,91.939464,93.183908,0,50.609962,93.50728,73.965517,85.56705,0.31,1.76,14.33,0,0,0,14.02,14.94,36.78
13,9,66,47,-38,63,94,69,66,256,219,56,190,0.03,2.84,2.46,0.61,0.5,0.2,0.3,0.2,4,3,5,4,4,1,1,0,96.19,26.76,100,89.52,0,87.98,98.17,29.99,100,93.587243,47.322581,75.796921,95.920088,0,80.688416,89.379765,51.447947,69.758065,3.01,2.49,32.77,0,0,27.64,14.37,17.16,51.47
14,8,45,44,-14,4,88,80,31,194,429,101,481,0.68,1.42,1.51,2.62,0.3,0.3,0.1,0.4,1,5,2,3,4,2,2,4,93.1,28.28,48.16,52.3,0,0,99.89,85.52,95.17,97.242529,76.698851,89.8,91.813793,0,7.648276,88.566667,89.45977,86.909195,0.46,2.64,10.57,0,0,0,28.97,29.77,40.57
15,8,68,44,-29,6,33,78,31,194,278,370,481,2.17,1.42,1.53,2.62,0.3,0.3,0.8,0.2,1,5,1,3,4,2,2,4,84.37,15.48,79.39,56.09,0,17.47,83.45,7.74,82.22,95.944061,46.695785,94.442912,91.930268,0,64.439847,94.954023,38.413027,89.09272,0.69,0.69,6.51,0,0,0,1.61,2.84,26.74
16,7,66,87,-24,64,39,7,66,437,181,390,197,0.37,1.11,0.08,1.11,0.5,0.2,0.7,0.2,10,2,5,4,2,1,1,4,41.07,18.18,81.07,14.62,0,59.76,34.64,0.63,84.6,71.698668,37.419279,70.824451,38.523903,0,70.836207,73.956113,29.42163,72.640282,4.51,6.35,32.95,0,0,23.82,0.43,0.24,32.99
17,8,68,44,-14,5,15,80,34,194,428,368,146,1.97,1.41,1.53,2.64,0.4,0.3,0.8,0.3,0,5,9,3,5,1,2,4,85.44,22.61,70.04,56.4,0,5.75,80.23,0,72.41,96.025287,46.077395,90.727969,93.697318,0,46.003065,96.130268,26.921073,87.471264,2.15,4.9,17.47,0,0,0,0,0,25.21
18,10,53,87,-30,14,85,94,9,11,70,350,147,0.22,2.99,1.62,2.78,0.6,0,0.8,0.8,7,1,2,3,0,5,4,3,52.13,0,99.4,52.18,0,97.04,100,100,100,80.318797,0,59.852632,80.203509,0,60.933333,53.263158,72.326108,26.197995,2.46,0,58.65,2.46,0,57.79,43.51,38.33,86.32
19,10,53,87,-30,14,33,93,77,16,295,350,147,0.22,2.19,0.29,2.78,0.6,0,0.8,0.8,7,0,2,3,0,5,4,3,50.83,0,76.69,49.62,0,64.61,100,74.88,100,79.967419,0,65.952381,79.227068,0,61.912782,74.421554,91.231034,46.586967,4.41,0,44.21,4.41,0,43.26,15.94,8.42,67.62
20,4,25,65,-24,19,21,7,36,436,159,386,189,0.34,2.23,1.7,1.6,0.7,0.3,0.7,0.3,2,1,3,2,3,4,1,3,23.69,0,53.63,9.45,0,33.14,28.2,0,52.91,89.925872,48.491279,81.047965,28.869186,0,39.857558,72.475291,27.077035,74.372093,0,0,16.72,0,0,12.94,0,0,21.8
21,7,67,89,-24,64,39,4,66,312,181,122,349,1.78,1.12,0.08,1.11,0.5,0.2,0.6,0.2,10,2,5,4,2,1,5,4,35.09,18.53,74.54,10.13,0,53.27,27.23,0.54,75.5,65.803159,37.251541,78.856703,32.575116,0,73.198767,67.654083,29.202234,80.390986,4.12,5.43,27.12,0,0,17.99,0.31,0.31,28.89
22,8,45,44,-14,4,88,80,31,194,429,101,481,0.68,1.42,1.51,2.62,0.3,0.3,0.1,0.4,1,5,2,3,4,2,2,4,93.1,28.28,48.16,52.3,0,0,99.89,85.52,95.17,97.242529,76.698851,89.8,91.813793,0,7.648276,88.566667,89.45977,86.909195,0.46,2.64,10.57,0,0,0,28.97,29.77,40.57
23,4,26,67,-24,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.7,0.3,0.6,0.3,2,1,3,2,3,4,5,3,13.9,0,42.51,2.94,0,26.2,19.92,0,44.79,72.18984,42.879679,82.22861,21.663102,0,38.815508,66.175134,23.188503,76,0,0,10.43,0,0,6.95,0,0,15.78
24,7,60,45,-14,15,15,9,33,194,416,367,145,2,1.11,0.08,2.64,0.4,0.3,0.8,0.3,0,5,4,3,5,0,2,4,55.33,17.83,99.67,2.67,0,38.67,45.67,0,96.83,92.204167,42.850833,84.225,60.191667,0,77.851667,90.4525,21.343333,81.569167,1.25,2.33,27.58,0,0,3.08,0,0,40.75
25,9,66,47,-38,63,94,69,66,256,219,56,190,0.03,2.84,2.46,0.61,0.5,0.2,0.3,0.2,4,3,5,4,4,1,1,0,96.19,26.76,100,89.52,0,88.05,98.17,29.99,100,93.587243,47.326246,75.85044,95.925953,0,80.692082,89.394428,51.51393,69.873167,3.01,2.49,32.77,0,0,27.64,14.37,17.16,51.47
26,7,60,87,-24,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.4,0.2,0.7,0.2,9,2,4,0,2,0,2,4,34.48,10.73,65.17,10.78,0,43.06,38.58,7.97,78.92,66.418103,28.542672,79.096121,33.373276,0,59.499138,77.614655,37.813362,78.065517,2.93,3.88,23.97,0,0,14.91,0.09,0,32.84
27,8,68,44,-24,6,34,6,31,194,177,370,209,2.17,1.11,1.53,1.07,0.3,0.3,0.7,0.2,1,5,5,3,4,1,1,4,38.85,22.61,74.25,0,0,12.72,34.48,10.11,77.7,82.636015,45.072797,91.457471,37.682759,0,50.19387,81.71341,39.514176,87.145594,3.14,5.82,15.17,0,0,0,2.61,3.14,28.97
28,8,68,44,-14,5,15,80,34,197,428,368,146,1.97,3,1.53,2.64,0.6,0.3,0.8,0.8,0,1,2,3,5,1,2,4,96.7,21.92,68.43,92.49,0,10.5,96.17,19.31,90.5,93.727969,41.114176,90.164751,97.582375,0,52.058238,96.304981,46.739464,85.577011,5.29,9.58,16.63,0,0,0,0,0.92,36.48
29,7,63,87,-29,64,39,80,59,437,282,389,469,0.37,1.41,0.08,2.65,0.5,0.2,0.8,0.2,10,2,1,4,2,2,2,4,56.31,17.93,88.35,33.77,0,64.45,51.81,0.08,89.32,85.698486,42.61104,72.126577,55.704373,0,72.873563,84.764368,26.999589,71.62069,0.88,1.11,28.76,0.5,0,24.59,0.62,0,34.65
30,7,67,89,-24,64,39,4,66,312,181,122,349,1.78,1.12,0.08,1.11,0.5,0.2,0.6,0.2,10,2,5,4,2,1,5,4,35.09,18.53,74.58,9.78,0,53.27,27.2,0.5,75.58,65.803159,37.259245,78.857473,32.558937,0,73.178737,67.712635,29.616718,80.368644,4.12,5.43,27.12,0,0,17.99,0.31,0.31,28.89
31,4,25,65,-24,38,21,9,36,436,409,386,189,0.31,2.23,0.14,1.6,0.4,0.3,0.7,0.3,2,0,3,3,3,4,2,3,21.08,0,64.83,10.61,0,45.06,33.14,0.73,69.62,78.225291,53.893895,75.664244,27.484012,0,47.194767,78.688953,45.00436,74.225291,0,0,22.97,0,0,19.48,0,0,25.87
32,7,67,89,-24,64,39,4,66,312,181,122,349,1.78,1.12,0.08,1.11,0.5,0.2,0.6,0.2,10,2,5,4,2,1,5,4,35.09,18.53,74.54,9.55,0,52.58,26.54,0.5,75.5,65.803159,37.251541,78.856703,32.50963,0,73.151387,67.65832,29.653313,80.403313,4.12,5.43,27.12,0,0,17.99,0.31,0.31,28.89
33,4,25,65,-24,19,21,7,36,436,159,386,189,0.34,2.23,1.7,1.6,0.7,0.3,0.7,0.3,2,1,3,2,3,4,1,3,23.69,0,53.63,9.45,0,33.14,28.2,0,52.91,89.925872,48.491279,81.047965,28.859012,0,39.857558,72.475291,27.077035,74.372093,0,0,16.72,0,0,12.94,0,0,21.8
34,8,45,44,-14,4,88,80,31,194,429,101,481,0.68,1.42,1.51,2.62,0.3,0.3,0.1,0.4,1,5,2,3,4,2,2,4,93.1,28.28,48.16,52.3,0,0,99.89,85.52,95.17,97.242529,76.698851,89.8,91.813793,0,7.648276,88.566667,89.45977,86.909195,0.46,2.64,10.57,0,0,0,28.97,29.77,40.57
35,4,26,67,-24,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.7,0.3,0.6,0.3,2,1,3,2,3,4,5,3,13.9,0,42.51,2.94,0,26.34,19.92,0,44.79,72.18984,42.852941,82.22861,21.685829,0,38.820856,66.175134,23.188503,76.045455,0,0,10.43,0,0,6.95,0,0,15.78
36,9,66,47,-38,63,94,69,66,256,219,56,190,0.03,2.84,2.46,0.61,0.5,0.2,0.3,0.2,4,3,5,4,4,1,1,0,96.19,26.76,100,89.44,0,88.05,98.17,29.99,100,93.587243,47.322581,75.793255,95.920088,0,80.61437,89.408358,51.505865,69.900293,3.01,2.49,32.77,0,0,27.64,14.37,17.16,51.47
37,7,60,87,-24,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.4,0.2,0.7,0.2,9,2,4,0,2,0,2,4,34.48,10.73,65.13,10.78,0,43.1,38.58,8.66,78.92,66.418103,28.547845,79.06681,33.414655,0,59.498707,77.614655,37.684914,78.068966,2.93,3.88,23.97,0,0,14.91,0.09,0,32.84
38,7,60,45,-14,15,15,7,33,194,163,367,145,2.03,1.11,1.64,2.64,0.7,0.3,0.8,0.3,0,6,4,2,5,0,2,4,62.33,16.08,99.5,17.58,0,39.25,57.75,0,96.75,92.868333,42.781667,84.761667,64.75,0,78.515833,92.061667,27.904167,80.926667,0.83,1.33,26.33,0,0,3.08,0,0,43.58
39,7,60,45,-14,15,15,9,33,194,416,367,145,2,1.11,0.08,2.64,0.4,0.3,0.8,0.3,0,5,4,3,5,0,2,4,55.33,17.83,99.67,2.67,0,38.75,45.25,0,96.83,92.204167,42.850833,84.225,60.1725,0,77.846667,90.460833,21.343333,81.559167,1.25,2.33,27.58,0,0,3.08,0,0,40.75
40,7,67,89,-24,64,39,4,66,312,181,122,349,1.78,1.12,0.08,1.11,0.5,0.2,0.6,0.2,10,2,5,4,2,1,5,4,35.09,18.53,74.61,9.9,0,53.2,26.62,0.39,75.5,65.803159,37.259245,78.821649,32.501541,0,73.161017,67.666795,29.5,80.390986,4.12,5.43,27.12,0,0,17.99,0.31,0.31,28.89
41,4,25,61,-24,38,14,9,27,436,168,386,189,0.31,2.23,0.16,1.6,0.7,0.3,0.7,0.3,2,0,4,3,3,0,2,3,40.47,12.34,65.63,19.38,0,46.25,37.66,0,65.16,71.83125,38.814063,74.684375,35.495313,0,50.235938,75.8875,26.485938,74.703125,0.16,2.66,26.88,0,0,17.66,0,0,24.22
42,7,67,89,-24,64,39,4,66,312,181,122,349,1.78,1.12,0.08,1.11,0.5,0.2,0.6,0.2,10,2,5,4,2,1,5,4,35.09,18.53,74.65,9.94,0,52.5,27.27,0.5,75.58,65.803159,37.251541,78.853236,32.570878,0,73.163713,67.758089,29.616718,80.3802,4.12,5.43,27.12,0,0,17.99,0.31,0.31,28.89
43,8,45,44,-14,4,88,80,31,194,429,101,481,0.68,1.42,1.51,2.62,0.3,0.3,0.1,0.4,1,5,2,3,4,2,2,4,93.1,28.28,48.16,52.3,0,0,99.89,85.52,95.17,97.242529,76.698851,89.8,91.813793,0,7.648276,88.566667,89.45977,86.909195,0.46,2.64,10.57,0,0,0,28.97,29.77,40.57
44,4,26,67,-24,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.7,0.3,0.6,0.3,2,1,3,2,3,4,5,3,13.9,0,42.51,2.81,0,26.34,19.92,0,44.79,72.18984,42.852941,82.22861,21.647059,0,38.856952,66.175134,23.215241,76,0,0,10.43,0,0,6.95,0,0,15.78
45,9,66,47,-38,64,89,68,32,256,165,6,209,1.98,2.84,2.47,2.66,0.5,0.2,0.8,0.2,4,3,5,2,5,0,1,0,94.65,16.42,100,90.03,0,100,98.46,18.84,100,94.719208,31.484604,46.713343,97.208211,0,56.230938,91.038856,38.73607,41.789589,0.59,1.17,56.67,0,0,40.54,9.46,8.65,64.96
46,7,60,45,-14,15,15,9,33,194,416,367,145,2,1.11,0.08,2.64,0.4,0.3,0.8,0.3,0,5,4,3,5,0,2,4,55.33,17.83,99.67,2.67,0,38.67,45.67,0,96.83,92.204167,42.850833,84.225,60.1725,0,77.851667,90.4525,21.343333,81.569167,1.25,2.33,27.58,0,0,3.08,0,0,40.75
47,7,60,87,-24,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.4,0.2,0.7,0.2,9,2,4,0,2,0,2,4,34.48,10.73,65.17,10.78,0,43.1,38.58,7.63,78.92,66.418103,28.544828,79.096121,33.414655,0,59.49569,77.614655,37.883621,78.068966,2.93,3.88,23.97,0,0,14.91,0.09,0,32.84
48,7,60,45,-14,14,20,8,67,194,217,427,145,0.1,1.11,1.63,0.6,0.7,0.3,0.4,0.3,0,6,4,4,5,1,2,4,81.08,31.83,88.58,28.42,0,28.17,68.83,5.58,88.75,91.095,62.145833,86.240833,71.55,0,64.3125,94.1275,34.524167,84.505,8.58,10.08,30.25,0,0,5,0,1.67,40.58
49,9,66,47,-38,63,94,69,66,256,219,56,190,0.03,2.84,2.46,0.61,0.5,0.2,0.3,0.2,4,3,5,4,4,1,1,0,96.19,26.76,100,89.52,0,87.61,98.17,29.91,100,93.587243,47.327713,75.796921,95.925953,0,80.64956,89.406158,51.439883,69.91349,3.01,2.49,32.77,0,0,27.64,14.37,17.16,51.47
50,7,67,89,-24,64,39,4,66,312,181,122,349,1.78,1.12,0.08,1.11,0.5,0.2,0.6,0.2,10,2,5,4,2,1,5,4,35.09,18.53,74.65,9.59,0,52.58,26.96,0.39,75.58,65.803159,37.251541,78.854777,32.467643,0,73.155624,67.594376,29.655624,80.40832,4.12,5.43,27.12,0,0,17.99,0.31,0.31,28.89
51,4,25,61,-24,38,14,9,27,436,168,386,189,0.31,2.23,0.16,1.6,0.7,0.3,0.7,0.3,2,0,4,3,3,0,2,3,40.47,12.34,65.63,19.38,0,46.25,37.66,0,65.16,71.83125,38.814063,74.684375,35.495313,0,50.235938,75.8875,26.485938,74.703125,0.16,2.66,26.88,0,0,17.66,0,0,24.22
52,7,67,89,-24,64,39,4,66,312,181,122,349,1.78,1.12,0.08,1.11,0.5,0.2,0.6,0.2,10,2,5,4,2,1,5,4,35.09,18.53,74.58,9.67,0,53.2,27.2,0.5,75.58,65.803159,37.251541,78.859014,32.481895,0,73.184515,67.5547,29.653698,80.405239,4.12,5.43,27.12,0,0,17.99,0.31,0.31,28.89
53,7,45,44,-14,15,88,80,33,194,429,101,481,0.68,1.42,0.08,2.62,0.3,0.3,0.1,0.4,1,5,1,3,4,0,2,4,89.89,30.34,58.16,54.48,0,10.57,99.66,64.48,92.99,96.291954,66.173563,87.396552,94.125287,0,27.596552,92.203448,90.867816,88.131034,1.61,3.33,15.29,0,0,2.07,17.59,16.32,34.83
54,7,67,47,-14,69,39,4,33,312,414,395,351,2,1.11,0.08,2.72,0.4,0.3,0.8,0.3,10,5,5,3,5,0,2,4,44.06,20.89,100,16.06,0,100,55.5,18.7,100,81.585777,43.206745,54.177419,58.765396,0,64.038856,88.845308,51.19868,55.78739,0.95,1.98,64.66,0,0,49.85,1.25,2.2,61.51
55,4,26,67,-24,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.7,0.3,0.6,0.3,2,1,3,2,3,4,5,3,13.9,0,42.51,2.81,0,26.34,19.92,0,44.79,72.18984,42.852941,82.22861,21.739305,0,38.856952,66.175134,23.302139,76.03877,0,0,10.43,0,0,6.95,0,0,15.78
56,7,60,43,-23,31,15,9,47,183,416,367,145,2,1.11,0.08,2.7,0.3,0.3,0.8,0.3,0,5,4,3,5,0,2,4,54.3,20.51,100,0,0,91.67,44.6,0,99.54,91.710623,47.46337,69.880952,58.739286,0,83.607143,89.165751,23.021978,69.158425,2.11,3.02,40.11,0,0,24.27,0.09,0,49.36
57,7,60,87,-24,10,15,9,66,193,183,113,143,1.78,1.12,0.08,1.03,0.5,0.2,0.6,0.3,0,2,4,4,2,1,5,4,41.77,19.22,48.06,13.66,0,5.69,28.97,0,43.79,72.592672,39.1,80.099569,37.828017,0,28.359052,71.505172,16.096121,81.251293,5.13,6.98,9.48,0,0,0,0.04,0,14.22
58,7,60,87,-24,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.4,0.2,0.7,0.2,9,2,4,0,2,0,2,4,34.48,10.73,65.13,10.52,0,42.84,38.53,8.53,78.92,66.418103,28.53319,79.06681,33.331034,0,59.459052,77.525,37.781466,78.0375,2.93,3.88,23.97,0,0,14.91,0.09,0,32.84
59,7,60,89,-15,15,39,10,34,447,181,388,64,0.37,1.11,0.08,1.11,0.4,0.2,0.6,0.2,9,2,4,0,2,0,2,4,26.02,8.22,50.55,9.87,0,23.73,35.34,6.86,65.85,56.619068,21.105932,75.080508,31.383898,0,41.543644,76.044915,37.27839,81.632203,1.65,1.86,16.53,0,0,4.62,0,0,27.2
60,7,67,89,-24,64,39,4,66,312,181,122,359,0.36,1.12,0.08,1.11,0.5,0.2,0.6,0.2,10,2,5,4,2,1,5,4,34.71,18.49,77.43,9.63,0,56.39,26.77,0.08,79.2,65.945686,37.104006,74.298151,32.49923,0,71.89869,67.607858,29.489214,75.954931,4.12,5.43,31.39,0,0,21.42,0.31,0.31,32.47
61,4,25,61,-24,38,14,9,27,436,168,386,189,0.31,2.23,0.16,1.6,0.7,0.3,0.7,0.3,2,0,4,3,3,0,2,3,40.47,12.34,65.63,19.38,0,46.25,37.66,0,65.16,71.83125,38.814063,74.684375,35.495313,0,50.235938,75.8875,26.485938,74.703125,0.16,2.66,26.88,0,0,17.66,0,0,24.22
62,7,67,89,-24,32,39,4,48,179,183,122,162,1.78,1.11,0.08,1.11,0.4,0.2,0.6,0.2,10,2,5,4,5,1,5,4,26.23,15.72,64.1,1.62,0,32.94,20.96,0.35,66.22,58.572419,32.749615,83.327042,26.835516,0,55.301618,62.595917,27.840139,83.162173,2.77,4.82,18.76,0,0,8.71,0.27,0.31,23.27
63,7,45,44,-14,15,88,80,33,194,429,101,481,0.68,1.42,0.08,2.62,0.3,0.3,0.1,0.4,1,5,1,3,4,0,2,4,89.89,30.34,58.16,54.48,0,10.57,99.66,64.48,92.99,96.291954,66.173563,87.396552,94.125287,0,27.596552,92.203448,90.867816,88.131034,1.61,3.33,15.29,0,0,2.07,17.59,16.32,34.83
64,7,67,47,-14,69,39,4,33,312,414,395,351,2,1.11,0.08,2.72,0.4,0.3,0.8,0.3,10,5,5,3,5,0,2,4,44.06,20.89,100,16.28,0,100,56.01,18.7,100,81.585777,43.206745,54.184751,58.830645,0,64.066716,88.97434,51.19868,55.711144,0.95,1.98,64.66,0,0,49.85,1.25,2.2,61.51
65,4,26,67,-24,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.7,0.3,0.6,0.3,2,1,3,2,3,4,5,3,13.9,0,42.51,2.81,0,26.34,19.92,0,44.79,72.18984,42.879679,82.22861,21.648396,0,38.828877,66.175134,23.382353,76.03877,0,0,10.43,0,0,6.95,0,0,15.78
66,7,60,87,-24,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.4,0.2,0.7,0.2,9,2,4,0,2,0,2,4,34.48,10.73,65.17,10.47,0,43.06,38.66,7.97,78.92,66.418103,28.536638,79.090517,33.331897,0,59.496552,77.523707,37.800431,78.0375,2.93,3.88,23.97,0,0,14.91,0.09,0,32.84
67,7,60,43,-23,31,15,9,47,183,416,367,145,2,1.11,0.08,2.7,0.3,0.3,0.8,0.3,0,5,4,3,5,0,2,4,54.3,20.51,100,0,0,91.67,44.6,0,99.54,91.710623,47.46337,69.880952,58.739286,0,83.605311,89.165751,23.021978,69.158425,2.11,3.02,40.11,0,0,24.27,0.09,0,49.36
68,7,60,87,-24,10,15,9,66,193,183,113,143,1.78,1.12,0.08,1.03,0.5,0.2,0.6,0.3,0,2,4,4,2,1,5,4,41.77,19.22,48.15,13.49,0,5.78,28.71,0,43.92,72.592672,39.11681,80.261207,37.795259,0,28.358621,71.493103,16.152586,81.493966,5.13,6.98,9.48,0,0,0,0.04,0,14.22
69,7,60,48,-14,32,39,10,48,437,424,338,64,0.37,1.11,0.08,2.84,0.4,0.2,0.7,0.2,9,5,3,3,2,0,2,4,53.05,15.47,99.77,21.25,0,93.52,55.16,3.2,99.53,88.828906,40.28125,67.792188,62.630469,0,78.93125,90.696875,40.94375,67.55625,0.86,1.56,49.77,0,0,31.25,0.39,1.41,52.58
70,4,25,61,-24,38,14,9,27,436,168,386,189,0.31,2.23,0.16,1.6,0.7,0.3,0.7,0.3,2,0,4,3,3,0,2,3,40.47,12.34,65.63,19.38,0,46.25,37.66,0,65.16,71.83125,38.814063,74.684375,35.495313,0,50.235938,75.8875,26.485938,74.703125,0.16,2.66,26.88,0,0,17.66,0,0,24.22
71,7,67,90,-14,69,39,4,48,312,415,395,351,2.01,1.11,0.08,2.72,0.4,0.3,0.6,0.3,10,5,5,3,5,0,5,4,28.11,18.22,80.19,1.17,0,53.64,27.61,5.34,85.42,65.258712,43.36553,78.934848,24.843561,0,72.32197,75.064394,42.583333,79.637879,0.83,1.36,31.48,0,0,21.25,0,0,31.78
72,4,66,67,-24,18,22,4,66,311,160,122,359,0.35,1.22,1.71,1.6,0.7,0.3,0.6,0.3,10,1,3,2,2,4,5,4,7.95,0,36.05,1.96,0,19.37,9.25,0,41.58,48.048554,24.292872,71.147727,20.120351,0,35.21126,44.908058,14.917355,66.858988,0,0,9.04,0,0,4.29,0,0,15.6
73,4,26,67,-24,19,21,4,36,311,160,120,342,1.76,2.23,1.7,1.6,0.7,0.3,0.6,0.3,2,1,3,2,3,4,5,3,13.9,0,42.51,2.81,0,26.2,19.92,0,44.79,72.18984,42.852941,82.22861,21.739305,0,38.84893,66.175134,23.302139,76.03877,0,0,10.43,0,0,6.95,0,0,15.78
74,7,60,87,-24,10,15,9,66,193,183,113,143,1.78,1.12,0.08,1.03,0.5,0.2,0.6,0.3,0,2,4,4,2,1,5,4,41.77,19.22,48.23,13.62,0,5.95,28.62,0,43.66,72.592672,39.12931,80.006034,37.878448,0,28.405603,71.415517,15.931034,81.348707,5.13,6.98,9.48,0,0,0,0.04,0,14.22
75,7,60,87,-24,31,39,10,48,437,181,387,64,0.37,1.11,0.08,1.11,0.4,0.2,0.7,0.2,9,2,4,0,2,0,2,4,34.48,10.73,65.13,10.43,0,42.76,38.53,7.8,78.92,66.418103,28.536638,79.065086,33.357759,0,59.480603,77.525,37.869397,78.068966,2.93,3.88,23.97,0,0,14.91,0.09,0,32.84
76,7,67,89,-24,32,39,9,47,179,421,115,162,2,1.11,0.08,1.11,0.4,0.2,0.6,0.2,10,2,5,4,5,2,2,4,32.4,17.03,66.68,8.59,0,32.13,28.89,0.42,65.37,68.110555,39.011941,86.248844,32.295069,0,54.82319,68.42527,28.217257,83.731895,0.39,1.73,18.07,0,0,8.09,0.27,0.31,22.34
